iter	Passed	Remaining
143	5513	10988
144	5564	10975
145	5603	10937
146	5625	10868
147	5668	10838
148	5709	10805
149	5753	10778
150	5794	10745
151	5837	10714
152	5877	10679
153	5926	10660
154	5975	10641
155	6018	10609
156	6060	10576
157	6102	10543
158	6146	10515
159	6192	10488
160	6236	10457
161	6276	10422
162	6327	10404
163	6393	10408
164	6440	10383
165	6489	10359
166	6529	10322
167	6572	10289
168	6629	10278
169	6677	10251
170	6726	10226
171	6774	10200
172	6813	10160
173	6848	10115
174	6888	10076
175	6925	10033
176	6971	10004
177	7023	9983
178	7070	9953
179	7105	9908
180	7151	9877
181	7193	9841
182	7232	9801
183	7268	9756
184	7312	9723
185	7349	9680
186	7392	9645
187	7437	9612
188	7468	9563
189	7499	9512
190	7534	9467
191	7571	9425
192	7610	9384
193	7650	9345
194	7682	9297
195	7720	9256
196	7759	9216
197	7797	9176
198	7834	9133
199	7874	9095
200	7917	9059
201	7957	9020
202	7992	8977
203	8040	8947
204	8078	8905
205	8113	8862
206	8158	8828
207	8200	8791
208	8232	8744
209	8270	8703
210	8310	8664
211	8342	8618
212	8377	8574
213	8424	8542
214	8459	8498
215	8493	8454
216	8533	8415
217	8572	8375
218	8610	8334
219	8648	8295
220	8686	8254
221	8720	8209
222	8759	8170
223	8795	8128
224	8831	8085
225	8869	8045
226	8908	8006
227	8944	7963
228	8984	7925
229	9019	7882
230	9040	7826
231	9074	7783
232	9116	7746
233	9154	7707
234	9190	7665
235	9226	7623
236	9266	7584
237	9301	7542
238	9340	7503
239	9375	7461
240	9420	7426
241	9458	7387
242	9502	7351
243	9540	7311
244	9582	7274
245	9623	7237
246	9665	7200
247	9706	7162
248	9752	7128
249	9792	7089
250	9826	7046
251	9860	7004
252	9894	6961
253	9927	6918
254	9968	6880
255	10007	6841
256	10047	6802
257	10085	6762
258	10117	6718
259	10152	6677
260	10189	6636
261	10223	6594
262	10266	6558
263	10298	6514
264	10332	6472
265	10371	6433
266	10412	6395
267	10449	6355
268	10488	6316
269	10521	6274
270	10559	6234
271	10596	6194
272	10629	6151
273	10667	6112
274	10707	6074
275	10748	6036
276	10784	5995
277	10822	5956
278	10862	5918
279	10904	5880
280	10943	5841
281	10984	5803
282	11020	5763
283	11062	5725
284	11098	5685
285	11147	5651
286	11185	5612
287	11222	5572
288	11231	5518
289	11269	5479
290	11309	5440
291	11346	5401
292	11384	5361
293	11419	5321
294	11460	5283
295	11495	5243
296	11501	5189
297	11539	5150
298	11576	5110
299	11612	5070
300	11649	5031
301	11685	4991
302	11725	4953
303	11728	4899
304	11762	4859
305	11782	4812
306	11816	4772
307	11852	4733
308	11892	4695
309	11912	4649
310	11950	4611
311	11988	4572
312	12023	4532
313	12062	4494
314	12102	4456
315	12137	4417
316	12173	4378
317	12211	4339
318	12244	4299
319	12281	4260
320	12319	4221
321	12355	4182
322	12362	4133
323	12398	4094
324	12441	4057
325	12482	4020
326	12522	3982
327	12564	3945
328	12611	3909
329	12651	3872
330	12692	3834
331	12730	3796
332	12769	3757
333	12806	3719
334	12854	3683
335	12891	3644
336	12929	3606
337	12933	3558
338	12966	3519
339	13001	3479
340	13040	3441
341	13080	3403
342	13114	3364
343	13146	3324
344	13184	3286
345	13221	3248
346	13255	3208
347	13290	3169
348	13327	3131
349	13360	3091
350	13402	3054
351	13440	3016
352	13475	2977
353	13514	2939
354	13550	2900
355	13584	2861
356	13621	2823
357	13660	2785
358	13699	2747
359	13732	2708
360	13770	2670
361	13773	2625
362	13807	2586
363	13845	2548
364	13882	2510
365	13923	2472
366	13963	2434
367	14002	2397
368	14039	2358
369	14077	2320
370	14114	2282
371	14155	2245
372	14206	2209
373	14244	2170
374	14276	2131
375	14315	2093
376	14355	2056
377	14396	2018
378	14407	1976
379	14445	1938
380	14483	1900
381	14517	1862
382	14556	1824
383	14591	1785
384	14629	1747
385	14667	1709
386	14703	1671
387	14739	1633
388	14775	1595
389	14814	1557
390	14850	1519
391	14889	1481
392	14927	1443
393	14964	1405
394	15003	1367
395	15041	1329
396	15078	1291
397	15091	1251
398	15126	1213
399	15162	1175
400	15201	1137
